anio,semestre,periodo,ADMITIDOS,GRADUADOS,ratio_admitidos_graduados
2018,1,2018-1,2872.0,1049.0,2.737845567206864
2018,2,2018-2,2379.0,2726.0,0.8727072633895818
2019,1,2019-1,3126.0,733.0,4.264665757162346
2019,2,2019-2,2679.0,2249.0,1.1911960871498444
2020,1,2020-1,3347.0,754.0,4.438992042440319
2020,2,2020-2,3244.0,2028.0,1.5996055226824457
2021,1,2021-1,4463.0,68.0,65.63235294117646
2021,2,2021-2,3416.0,152.0,22.473684210526315
2022,1,2022-1,0.0,1223.0,0.0
2022,2,2022-2,0.0,2443.0,0.0
2023,1,2023-1,0.0,1312.0,0.0
2023,2,2023-2,0.0,2645.0,0.0
2024,1,2024-1,0.0,487.0,0.0
2024,2,2024-2,0.0,4366.0,0.0
