facultad,tipo,volumen
FACULTAD DE CIENCIAS EMPRESARIALES Y ECONOMICAS,ADMITIDOS,9115
CIENCIAS EMPRESARIALES Y ECONOMICAS,GRADUADOS,6413
FACULTAD DE INGENIERIA,ADMITIDOS,5515
FACULTAD DE INGENIERIA,GRADUADOS,4765
FACULTAD DE CIENCIAS DE LA SALUD,ADMITIDOS,4042
FACULTAD DE CIENCIAS DE LA EDUCACION,GRADUADOS,3907
FACULTAD DE HUMANIDADES,GRADUADOS,3694
FACULTAD DE CIENCIAS DE LA EDUCACION,ADMITIDOS,3658
FACULTAD DE CIENCIAS DE LA SALUD,GRADUADOS,3135
FACULTAD DE HUMANIDADES,ADMITIDOS,2758
FACULTAD DE CIENCIAS BASICAS,ADMITIDOS,438
FACULTAD DE CIENCIAS BASICAS,GRADUADOS,321
