programa,tipo,volumen
PROFESIONAL EN DEPORTE,ADMITIDOS,2149
TECNICO PROFESIONAL EN PREVENCION DE RIESGOS LABORALES,ADMITIDOS,1974
LICENCIATURA EN LITERATURA Y LENGUA CASTELLANA,ADMITIDOS,1465
LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN FACULTAD DE HUMANIDADES- LENGUA CASTELLANA,GRADUADOS,1129
DERECHO,GRADUADOS,1086
CONTADURIA PUBLICA,ADMITIDOS,1059
CONTADURIA PUBLICA,GRADUADOS,1032
NEGOCIOS INTERNACIONALES,GRADUADOS,1027
ADMINISTRACION DE EMPRESAS,GRADUADOS,1020
TECNOLOGIA EN EDUCACION FISICA RECREACION Y DEPORTE,ADMITIDOS,1001
INGENIERIA INDUSTRIAL,GRADUADOS,972
NEGOCIOS INTERNACIONALES,ADMITIDOS,963
TECNICO PROFESIONAL EN PROCESOS DE GESTION PUBLICA TERRITORIAL,ADMITIDOS,955
PROFESIONAL EN DEPORTE,GRADUADOS,947
ADMINISTRACION DE EMPRESAS,ADMITIDOS,893
ADMINISTRACION DE LA SEGURIDAD Y SALUD EN EL TRABAJO,ADMITIDOS,875
LICENCIATURA EN EDUCACION BASICA EN FACULTAD DE HUMANIDADES - LENGUA CASTELLANA,ADMITIDOS,843
INGENIERIA AMBIENTAL Y SANITARIA,GRADUADOS,754
PSICOLOGIA,GRADUADOS,741
LICENCIATURA EN PREESCOLAR,GRADUADOS,736
INGENIERIA INDUSTRIAL,ADMITIDOS,709
INGENIERIA AMBIENTAL Y SANITARIA,ADMITIDOS,683
INGENIERIA DE SISTEMAS,ADMITIDOS,675
INGENIERIA CIVIL,ADMITIDOS,639
INGENIERIA CIVIL,GRADUADOS,631
INGENIERIA ELECTRONICA,ADMITIDOS,626
LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN INFORMATICA,GRADUADOS,618
DERECHO,ADMITIDOS,606
TECNOLOGIA EN GESTION HOTELERA Y TURISTICA,GRADUADOS,541
TECNOLOGIA EN GESTION HOTELERA Y TURISTICA,ADMITIDOS,535
TECNOLOGIA EN SALUD OCUPACIONAL,GRADUADOS,518
LICENCIATURA EN LITERATURA Y LENGUA CASTELLANA,GRADUADOS,508
INGENIERIA DE SISTEMAS,GRADUADOS,500
INGENIERIA AGRONOMICA,ADMITIDOS,487
ECONOMIA,ADMITIDOS,480
ENFERMERIA,ADMITIDOS,470
ENFERMERIA,GRADUADOS,444
MEDICINA,ADMITIDOS,434
TECNICO PROFESIONAL EN PREVENCION DE RIESGOS LABORALES,GRADUADOS,426
TECNOLOGIA EN EDUCACION FISICA RECREACION Y DEPORTE,GRADUADOS,424
ECONOMIA,GRADUADOS,417
INGENIERIA ELECTRONICA,GRADUADOS,410
INGENIERIA PESQUERA,ADMITIDOS,409
TECNICO PROFESIONAL EN HIGIENE Y SEGURIDAD INDUSTRIAL,GRADUADOS,409
PSICOLOGIA,ADMITIDOS,408
MEDICINA,GRADUADOS,394
TECNOLOGIA EN GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO,ADMITIDOS,383
CINE Y AUDIOVISUALES,GRADUADOS,379
ANTROPOLOGIA,GRADUADOS,369
ODONTOLOGIA,GRADUADOS,369
ODONTOLOGIA,ADMITIDOS,367
BIOLOGIA,ADMITIDOS,367
ADMINISTRACION DE LA SEGURIDAD Y SALUD EN EL TRABAJO,GRADUADOS,358
ESPECIALIZACION EN GERENCIA DE PROYECTOS DE FACULTAD DE INGENIERIA,GRADUADOS,355
ANTROPOLOGIA,ADMITIDOS,328
CINE Y AUDIOVISUALES,ADMITIDOS,326
ESPECIALIZACION EN GERENCIA DE PROYECTOS DE INGENIERIA,ADMITIDOS,324
TECNOLOGIA EN GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO,GRADUADOS,296
ADMINISTRACION DE EMPRESAS TURISTICAS Y HOTELERAS,GRADUADOS,295
INGENIERIA AGRONOMICA,GRADUADOS,289
BIOLOGIA,GRADUADOS,289
ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,GRADUADOS,269
ESPECIALIZACION EN DOCENCIA UNIVERSITARIA,ADMITIDOS,257
