programa,tipo,volumen
PROFESIONAL EN DEPORTE,ADMITIDOS,2149
TECNICO PROFESIONAL EN PREVENCION DE RIESGOS LABORALES,ADMITIDOS,1974
LICENCIATURA EN LITERATURA Y LENGUA CASTELLANA,ADMITIDOS,1465
LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN FACULTAD DE HUMANIDADES- LENGUA CASTELLANA,GRADUADOS,1129
DERECHO,GRADUADOS,1086
CONTADURIA PUBLICA,ADMITIDOS,1059
CONTADURIA PUBLICA,GRADUADOS,1032
NEGOCIOS INTERNACIONALES,GRADUADOS,1027
ADMINISTRACION DE EMPRESAS,GRADUADOS,1020
TECNOLOGIA EN EDUCACION FISICA RECREACION Y DEPORTE,ADMITIDOS,1001
INGENIERIA INDUSTRIAL,GRADUADOS,972
NEGOCIOS INTERNACIONALES,ADMITIDOS,963
TECNICO PROFESIONAL EN PROCESOS DE GESTION PUBLICA TERRITORIAL,ADMITIDOS,955
PROFESIONAL EN DEPORTE,GRADUADOS,947
ADMINISTRACION DE EMPRESAS,ADMITIDOS,893
ADMINISTRACION DE LA SEGURIDAD Y SALUD EN EL TRABAJO,ADMITIDOS,875
LICENCIATURA EN EDUCACION BASICA EN FACULTAD DE HUMANIDADES - LENGUA CASTELLANA,ADMITIDOS,843
INGENIERIA AMBIENTAL Y SANITARIA,GRADUADOS,754
PSICOLOGIA,GRADUADOS,741
LICENCIATURA EN PREESCOLAR,GRADUADOS,736
